id_entreprise,id_secteur,nom_entreprise,taille
168,,Crédit Agricole d'Ile de France,
169,,Crédit Agricole d'Aquitaine,
170,35.0,Altran Engineering Solution,De 501 à 1 000 employés
171,,Crédit Agricole,
172,,Lectra,
173,,Sopra Steria,
174,,Sopra Steria Recruitment,
175,,CITECH,
176,,Group Adaming,
177,,Micropole,
178,8.0,Altran North America,Plus de 10 000 employés
179,,alptis assurances,
180,,Plastic Omnium,
181,,Mixt Composites Recyclables,
182,,Astek,
183,,Astek Group,
184,,Keyrus Group,
185,7.0,Altran Telnet,Inconnu
186,,Yongzhi Plastic Electronics (Shenzhen) Co.,
187,,Thales,
188,,Thales-Raytheon Systems,
189,,L&T Thales Technology Services,
190,,JEMS Group,
191,,Capgemini,
192,,Capgemini Invent,
193,35.0,Sephora,Plus de 10 000 employés
194,,Open,
195,,Open Minds Open Hearts Day Care,
196,,OpenText,
197,,Open Sourcing,
198,,Artefact,
199,,Artefact Group,
200,19.0,LVMH,Plus de 10 000 employés
201,,Artefacts Studio,
202,,Openfield Live,
203,,Phaidon International,
204,,D2SI,
205,,Adthink-Media,
206,,SKF,
207,,GFI,
208,,Gfi Informatique,
209,20.0,Statkraft AS,Entre 201 et 500 employés
210,,GFI Software,
211,,GFI Group,
212,,ACCEO Solutions,
213,2.0,Sparklane,De 1 à 50 employés
214,,Accor,
215,,ibis,
216,,La Redoute,
217,,LA REDOUTE,
218,,Veolia,
219,,OTV,
220,3.0,Atos Medical,De 51 à 200 employés
221,18.0,Manpower,De 5 001 à 10 000 employés
222,,Veolia Water Tech,
223,,Groupe NICOLLIN - Groupe VEOLIA,
224,,Transdev,
225,9.0,ITS,De 1 à 50 employés
226,1.0,ITS Group,De 1 001 à 5 000 employés
227,34.0,Loria,De 501 à 1 000 employés
228,36.0,ITS Overlap,Entre 201 et 500 employés
229,18.0,Canon ITS,Entre 201 et 500 employés
230,1.0,Groupe SII,De 1 001 à 5 000 employés
231,1.0,Sii Poland,De 1 001 à 5 000 employés
232,11.0,cerema,De 1 001 à 5 000 employés
233,11.0,Paris Inn Group,De 501 à 1 000 employés
234,15.0,Dassault Systemes,Plus de 10 000 employés
235,11.0,Groupe Altice Média,De 501 à 1 000 employés
236,11.0,CALIDA Group,Inconnu
237,13.0,Logware,Entre 201 et 500 employés
238,33.0,Fortuneo SA,Entre 201 et 500 employés
239,37.0,Teads,De 501 à 1 000 employés
240,15.0,Datadog,De 1 001 à 5 000 employés
241,38.0,CELINE,De 1 001 à 5 000 employés
242,18.0,SolidWorks,De 501 à 1 000 employés
243,18.0,Les Echos,Entre 201 et 500 employés
244,18.0,Kendo,Entre 201 et 500 employés
245,9.0,Sanofi,Plus de 10 000 employés
246,7.0,Sanofi Pasteur,Inconnu
247,39.0,Merial,De 1 001 à 5 000 employés
248,40.0,Groupe Crédit Agricole,De 5 001 à 10 000 employés
249,33.0,Groupe Crédit Agricole du Maroc,De 501 à 1 000 employés
250,35.0,CACIB,De 5 001 à 10 000 employés
251,11.0,Crédit Agricole d'Ile de France,De 1 001 à 5 000 employés
252,11.0,Crédit Agricole d'Aquitaine,De 1 001 à 5 000 employés
253,11.0,Crédit Agricole,Inconnu
254,15.0,Lectra,De 1 001 à 5 000 employés
255,1.0,Sopra Steria,Plus de 10 000 employés
256,18.0,Sopra Steria Recruitment,De 51 à 200 employés
257,1.0,CITECH,De 51 à 200 employés
258,1.0,Group Adaming,De 501 à 1 000 employés
259,13.0,Micropole,De 1 001 à 5 000 employés
260,11.0,alptis assurances,Entre 201 et 500 employés
261,41.0,Plastic Omnium,1946
262,11.0,Mixt Composites Recyclables,Inconnu
